#separator:tab
#html:true
#tags column:3
<b>Slide 6 – Localization – bearing from TDoA</b> [4:20–5:20]<br><i>Say the whole slide.</i>	<b>First, I will briefly explain the localization.</b><br>Each sensor unit has two MEMS microphones, about twenty centimetres apart, sampled at 44.1 kilohertz.<br>We measure the time difference of arrival between the two microphones.<br>From this delay, we can calculate the direction to the source using the equation shown here.<br><span style="color:#C8102E"><b>[CLICK]</b></span><br>One sensor unit therefore gives us one direction.<br>With two sensor units, we get two directions, and their intersection gives us the estimated source position.<br>We tested this on seventy events at nine reference angles.<br>Using cross-correlation with parabolic interpolation, we achieved a mean absolute error of zero point seven seven degrees.	talk slide6
<b>Slide 6 – Localization – bearing from TDoA</b><br>Last sentence (the bridge to the next slide)?	Using cross-correlation with parabolic interpolation, we achieved a mean absolute error of zero point seven seven degrees.	talk bridge slide6
<b>Slide 7 – Feature extraction – cepstral coefficients</b> [5:20–5:50]<br><i>Say the whole slide.</i>	<b>Now I will move to the main part of the work: classification.</b><br>We compared four different cepstral feature extractors.<br>All of them use the same chain: framing, FFT, a filter bank, and then a logarithm and a discrete cosine transform.<br>The main difference is the filter bank.<br>You can see all four filter banks here, drawn on the same frequency axis.	talk slide7
<b>Slide 7 – Feature extraction – cepstral coefficients</b><br>Last sentence (the bridge to the next slide)?	You can see all four filter banks here, drawn on the same frequency axis.	talk bridge slide7
<b>Slide 8 – Feature extraction – the four filter banks</b> [5:50–6:25]<br><i>Say the whole slide.</i>	<b>MFCC uses the mel scale, with dense filters at low frequencies.</b><br>It comes from speech processing, but it also works for gunshots.<br>LFCC uses linearly spaced filters, while IMFCC uses an inverted mel scale, with dense filters at high frequencies.<br>GTCC uses a gammatone filter bank based on a model of the human auditory system.<br>It is also reported to be more robust to noise than MFCC.	talk slide8
<b>Slide 8 – Feature extraction – the four filter banks</b><br>Last sentence (the bridge to the next slide)?	It is also reported to be more robust to noise than MFCC.	talk bridge slide8
<b>Slide 9 – Classification results – 9 mm class</b> [6:25–6:40]<br><i>Say the whole slide.</i>	<b>This table shows the complete classification results for the nine-millimetre class.</b><br>The GTCC rows are highlighted.<br>I will not go through the numbers here – let us look at the same data in a chart.	talk slide9
<b>Slide 9 – Classification results – 9 mm class</b><br>Last sentence (the bridge to the next slide)?	I will not go through the numbers here – let us look at the same data in a chart.	talk bridge slide9
<b>Slide 10 – Classification results – MCC at a glance</b> [6:40–7:35]<br><i>Say the whole slide.</i>	<b>This chart shows the same results, but only the Matthews correlation coefficient.</b><br>MCC considers the whole confusion matrix, so it is less affected by class imbalance than accuracy.<br>The red line is GTCC.<br>It is on top in both panels and for every frame length.<br>The neural network gives better results than the SVM, and the difference grows with longer frames.<br>The best configuration is GTCC with the neural network and a fifty-millisecond frame.<br>It reaches an accuracy of ninety-nine point one five percent, a recall of ninety-six point seven seven percent, and an MCC of zero point nine eight.<br>That is one hundred and seventeen correct decisions out of one hundred and eighteen test events.	talk slide10
<b>Slide 10 – Classification results – MCC at a glance</b><br>Last sentence (the bridge to the next slide)?	That is one hundred and seventeen correct decisions out of one hundred and eighteen test events.	talk bridge slide10
<b>Slide 11 – Discussion</b> [7:35–8:45]<br><i>Say the whole slide.</i>	<b>From these results, we can make three main observations.</b><br>First, MFCC, LFCC and IMFCC give similar results, so the filter spacing makes little difference.<br>Second, GTCC performs clearly better.<br><i style="color:#777">[CUT] One possible reason is that the gammatone filter bank is based on an auditory model and is known to be more robust to noise.<br>However, we did not study this mechanism directly. [/CUT]</i><br>Third, the neural network performs slightly better than the SVM, especially with longer frames.<br>This is a general trend, not true for every single result.<br><span style="color:#C8102E"><b>[CLICK]</b></span><br>Finally, longer frames generally improve the classification accuracy.<br>But with a fifty-millisecond frame, we already start to include more reflections from the environment, not only the gunshot itself.<br>So even longer frames would not necessarily help.	talk slide11
<b>Slide 11 – Discussion</b><br>Last sentence (the bridge to the next slide)?	So even longer frames would not necessarily help.	talk bridge slide11
<b>Slide 12 – Conclusion</b> [8:45–9:30]<br><i>Say the whole slide.</i>	<b>To conclude.</b><br>We presented a distributed acoustic sensor system for the detection, classification and localization of impulsive sounds.<br>For gunshot classification, cepstral features work well with both tested classifiers.<br>Among the tested features, GTCC gives the best results.<br>The neural network also performs slightly better than the SVM, especially with longer frames.<br>The system was evaluated on real firearms with several calibres and ammunition types.<br>Thank you.	talk slide12
<b>Slide 12 – Conclusion</b><br>Last sentence (the bridge to the next slide)?	Thank you.	talk bridge slide12
Best configuration (GTCC + NN, 50 ms) – accuracy?	99.15 %	talk numbers results
Best configuration (GTCC + NN, 50 ms) – recall?	96.77 %	talk numbers results
Best configuration (GTCC + NN, 50 ms) – MCC?	0.98	talk numbers results
Test partition – how many events, how many 9 mm?	118 events, 31 of them 9 mm	talk numbers results
99.15 % accuracy = how many correct decisions?	117 of 118	talk numbers results
96.77 % recall = how many 9 mm shots recalled?	30 of 31	talk numbers results
Corpus – training / test samples (five classes)?	371 / 118	talk numbers dataset
Features per extractor?	26 coefficients per frame	talk numbers features
Frame lengths tested?	15 / 30 / 50 ms	talk numbers features
Bearing accuracy (cross-correlation + parabolic interpolation)?	MAE 0.77°	talk numbers localization
Bearing evaluation – how many events, how many reference angles?	70 events, 9 angles (−45° to +60°)	talk numbers localization
Microphone spacing and sampling rate?	d = 0.186 m (≈ 20 cm), f_s = 44.1 kHz	talk numbers localization
Maximum TDoA for this geometry?	≈ 24 samples	talk numbers localization
Shock wave / muzzle blast timing in the recording shown?	shock wave ≈ 2.5 ms, muzzle blast ≈ 45 ms later, lasting 1–3 ms	talk numbers signal
Talk length – target?	10 min slot, script written to 9:30	talk numbers talk
