recording_id,original_id,filename,audio_path,label,class_id,split,source_library,source_label,samplerate,channels,date,guntype,caliber,distance,angle,suppressor,window_size,impulse_position
Amusement_Park Ambiance -SoundBible_uid-jwv6lq,jwv6lq,Amusement_Park Ambiance -SoundBible_uid-jwv6lq.wav,audio/Amusement_Park Ambiance -SoundBible_uid-jwv6lq.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Amusement_Park Ambiance -SoundBible_uid-l24o63,l24o63,Amusement_Park Ambiance -SoundBible_uid-l24o63.wav,audio/Amusement_Park Ambiance -SoundBible_uid-l24o63.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Background_Noise-SoundBible_uid-m7qaag,m7qaag,Background_Noise-SoundBible_uid-m7qaag.wav,audio/Background_Noise-SoundBible_uid-m7qaag.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Background_Noise-SoundBible_uid-mnn2bm,mnn2bm,Background_Noise-SoundBible_uid-mnn2bm.wav,audio/Background_Noise-SoundBible_uid-mnn2bm.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Bi_Polar_Uncle-ScanMan-1810098860_uid-b8uks2,b8uks2,Bi_Polar_Uncle-ScanMan-1810098860_uid-b8uks2.wav,audio/Bi_Polar_Uncle-ScanMan-1810098860_uid-b8uks2.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Bi_Polar_Uncle-ScanMan-1810098860_uid-evaiic,evaiic,Bi_Polar_Uncle-ScanMan-1810098860_uid-evaiic.wav,audio/Bi_Polar_Uncle-ScanMan-1810098860_uid-evaiic.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Bi_Polar_Uncle-ScanMan-1810098860_uid-l7n0jt,l7n0jt,Bi_Polar_Uncle-ScanMan-1810098860_uid-l7n0jt.wav,audio/Bi_Polar_Uncle-ScanMan-1810098860_uid-l7n0jt.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Bi_Polar_Uncle-ScanMan-1810098860_uid-omv54z,omv54z,Bi_Polar_Uncle-ScanMan-1810098860_uid-omv54z.wav,audio/Bi_Polar_Uncle-ScanMan-1810098860_uid-omv54z.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Bi_Polar_Uncle-ScanMan-1810098860_uid-p90ljg,p90ljg,Bi_Polar_Uncle-ScanMan-1810098860_uid-p90ljg.wav,audio/Bi_Polar_Uncle-ScanMan-1810098860_uid-p90ljg.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Big_door_closed-Clemens_F-941522533_uid-n02it9,n02it9,Big_door_closed-Clemens_F-941522533_uid-n02it9.wav,audio/Big_door_closed-Clemens_F-941522533_uid-n02it9.wav,impulse_noise,0,test,ImpulseEvents.parquet,Impulse Event,44100,1,2025-11-09,Big Door,,,,,30000,10
Cellar_Door Slam Shut-SoundBible_uid-pg4dq8,pg4dq8,Cellar_Door Slam Shut-SoundBible_uid-pg4dq8.wav,audio/Cellar_Door Slam Shut-SoundBible_uid-pg4dq8.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Cellar Door,,,,,30000,10
Citty_Traffic Ambiance-SoundBible_uid-87yimc,87yimc,Citty_Traffic Ambiance-SoundBible_uid-87yimc.wav,audio/Citty_Traffic Ambiance-SoundBible_uid-87yimc.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Citty_Traffic Ambiance-SoundBible_uid-8vk0wx,8vk0wx,Citty_Traffic Ambiance-SoundBible_uid-8vk0wx.wav,audio/Citty_Traffic Ambiance-SoundBible_uid-8vk0wx.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Citty_Traffic Ambiance-SoundBible_uid-mxbe2e,mxbe2e,Citty_Traffic Ambiance-SoundBible_uid-mxbe2e.wav,audio/Citty_Traffic Ambiance-SoundBible_uid-mxbe2e.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Citty_Traffic Ambiance-SoundBible_uid-q0srdn,q0srdn,Citty_Traffic Ambiance-SoundBible_uid-q0srdn.wav,audio/Citty_Traffic Ambiance-SoundBible_uid-q0srdn.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
City_Ambiance-SoundBible_uid-8yrqh9,8yrqh9,City_Ambiance-SoundBible_uid-8yrqh9.wav,audio/City_Ambiance-SoundBible_uid-8yrqh9.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
City_Ambiance-SoundBible_uid-t8xlgr,t8xlgr,City_Ambiance-SoundBible_uid-t8xlgr.wav,audio/City_Ambiance-SoundBible_uid-t8xlgr.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Classroom_Ambiance-SoundBible_uid-q49pv1,q49pv1,Classroom_Ambiance-SoundBible_uid-q49pv1.wav,audio/Classroom_Ambiance-SoundBible_uid-q49pv1.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Classroom_Ambiance-SoundBible_uid-qfbdk0,qfbdk0,Classroom_Ambiance-SoundBible_uid-qfbdk0.wav,audio/Classroom_Ambiance-SoundBible_uid-qfbdk0.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Classroom_Ambiance-SoundBible_uid-uu3ewb,uu3ewb,Classroom_Ambiance-SoundBible_uid-uu3ewb.wav,audio/Classroom_Ambiance-SoundBible_uid-uu3ewb.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Classroom_Ambiance-SoundBible_uid-xdl758,xdl758,Classroom_Ambiance-SoundBible_uid-xdl758.wav,audio/Classroom_Ambiance-SoundBible_uid-xdl758.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Close_Vault_Or_Jail_Door-SoundBible_uid-lasl2n,lasl2n,Close_Vault_Or_Jail_Door-SoundBible_uid-lasl2n.wav,audio/Close_Vault_Or_Jail_Door-SoundBible_uid-lasl2n.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Dog_Barking-SoundBible_uid-3uyzqt,3uyzqt,Dog_Barking-SoundBible_uid-3uyzqt.wav,audio/Dog_Barking-SoundBible_uid-3uyzqt.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Dog_Barking-SoundBible_uid-udwefz,udwefz,Dog_Barking-SoundBible_uid-udwefz.wav,audio/Dog_Barking-SoundBible_uid-udwefz.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Dog barking,,,,,30000,10
Dogs_Barking-SoundBible_uid-0ftva8,0ftva8,Dogs_Barking-SoundBible_uid-0ftva8.wav,audio/Dogs_Barking-SoundBible_uid-0ftva8.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Dogs_Barking-SoundBible_uid-itlawo,itlawo,Dogs_Barking-SoundBible_uid-itlawo.wav,audio/Dogs_Barking-SoundBible_uid-itlawo.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Dogs_Barking-SoundBible_uid-k8qbi9,k8qbi9,Dogs_Barking-SoundBible_uid-k8qbi9.wav,audio/Dogs_Barking-SoundBible_uid-k8qbi9.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
End_of_Game-Mike_Koenig-617089079_uid-0scusn,0scusn,End_of_Game-Mike_Koenig-617089079_uid-0scusn.wav,audio/End_of_Game-Mike_Koenig-617089079_uid-0scusn.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Engine_Inside_Car-SoundBible_uid-as3jed,as3jed,Engine_Inside_Car-SoundBible_uid-as3jed.wav,audio/Engine_Inside_Car-SoundBible_uid-as3jed.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Engine inside car,,,,,30000,10
Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-8u9yx0,8u9yx0,Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-8u9yx0.wav,audio/Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-8u9yx0.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-9pwmgu,9pwmgu,Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-9pwmgu.wav,audio/Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-9pwmgu.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Female_Scream_Horror-NeoPhyTe-138499973_uid-w7fb5j,w7fb5j,Female_Scream_Horror-NeoPhyTe-138499973_uid-w7fb5j.wav,audio/Female_Scream_Horror-NeoPhyTe-138499973_uid-w7fb5j.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,11025,1,2026-04-11,,,,,,30000,10
Footsteps_SoundBible_uid-4v6zy1,4v6zy1,Footsteps_SoundBible_uid-4v6zy1.wav,audio/Footsteps_SoundBible_uid-4v6zy1.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Footstep,,,,,30000,10
Footsteps_SoundBible_uid-dg95vk,dg95vk,Footsteps_SoundBible_uid-dg95vk.wav,audio/Footsteps_SoundBible_uid-dg95vk.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Footsteps_SoundBible_uid-hnz36f,hnz36f,Footsteps_SoundBible_uid-hnz36f.wav,audio/Footsteps_SoundBible_uid-hnz36f.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Footstep,,,,,30000,10
Frying_Pan_Impact-SoundBible_uid-nbylf3,nbylf3,Frying_Pan_Impact-SoundBible_uid-nbylf3.wav,audio/Frying_Pan_Impact-SoundBible_uid-nbylf3.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Flying pan,,,,,30000,10
Indian_Bell-SoundBible_uid-t0u6xu,t0u6xu,Indian_Bell-SoundBible_uid-t0u6xu.wav,audio/Indian_Bell-SoundBible_uid-t0u6xu.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Japanese_Temple Bell Small-SoundBible_uid-3fhudh,3fhudh,Japanese_Temple Bell Small-SoundBible_uid-3fhudh.wav,audio/Japanese_Temple Bell Small-SoundBible_uid-3fhudh.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Japanese_Temple Bell Small-SoundBible_uid-8kpqn1,8kpqn1,Japanese_Temple Bell Small-SoundBible_uid-8kpqn1.wav,audio/Japanese_Temple Bell Small-SoundBible_uid-8kpqn1.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Large_Door_Slam-SoundBible_uid-ljg1k3,ljg1k3,Large_Door_Slam-SoundBible_uid-ljg1k3.wav,audio/Large_Door_Slam-SoundBible_uid-ljg1k3.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Little_Girl_Talking-Mike_Koenig-782373463_uid-bstw5g,bstw5g,Little_Girl_Talking-Mike_Koenig-782373463_uid-bstw5g.wav,audio/Little_Girl_Talking-Mike_Koenig-782373463_uid-bstw5g.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Metal_Gong-Dianakc-109711828_uid-hlegwg,hlegwg,Metal_Gong-Dianakc-109711828_uid-hlegwg.wav,audio/Metal_Gong-Dianakc-109711828_uid-hlegwg.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Motorcycle_Engine-SoundBible_uid-bo8n5y,bo8n5y,Motorcycle_Engine-SoundBible_uid-bo8n5y.wav,audio/Motorcycle_Engine-SoundBible_uid-bo8n5y.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Motorcycle engine,,,,,30000,10
Neighborhood_Dogs Barking-SoundBible_uid-6a1kho,6a1kho,Neighborhood_Dogs Barking-SoundBible_uid-6a1kho.wav,audio/Neighborhood_Dogs Barking-SoundBible_uid-6a1kho.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Neighborhood_Dogs Barking-SoundBible_uid-7mwktq,7mwktq,Neighborhood_Dogs Barking-SoundBible_uid-7mwktq.wav,audio/Neighborhood_Dogs Barking-SoundBible_uid-7mwktq.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Neighborhood_Dogs Barking-SoundBible_uid-dwmjp4,dwmjp4,Neighborhood_Dogs Barking-SoundBible_uid-dwmjp4.wav,audio/Neighborhood_Dogs Barking-SoundBible_uid-dwmjp4.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Neighborhood_Dogs Barking-SoundBible_uid-kc7h7x,kc7h7x,Neighborhood_Dogs Barking-SoundBible_uid-kc7h7x.wav,audio/Neighborhood_Dogs Barking-SoundBible_uid-kc7h7x.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Neighborhood_Dogs Barking-SoundBible_uid-p7gr4b,p7gr4b,Neighborhood_Dogs Barking-SoundBible_uid-p7gr4b.wav,audio/Neighborhood_Dogs Barking-SoundBible_uid-p7gr4b.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Neighborhood_Dogs Barking-SoundBible_uid-rq1qkq,rq1qkq,Neighborhood_Dogs Barking-SoundBible_uid-rq1qkq.wav,audio/Neighborhood_Dogs Barking-SoundBible_uid-rq1qkq.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Obama_Speech Liar-SoundBible_uid-8mnhtv,8mnhtv,Obama_Speech Liar-SoundBible_uid-8mnhtv.wav,audio/Obama_Speech Liar-SoundBible_uid-8mnhtv.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Old_Door_Creaking-SoundBible_uid-e16ryq,e16ryq,Old_Door_Creaking-SoundBible_uid-e16ryq.wav,audio/Old_Door_Creaking-SoundBible_uid-e16ryq.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Old_Door_Creaking-SoundBible_uid-f2vs74,f2vs74,Old_Door_Creaking-SoundBible_uid-f2vs74.wav,audio/Old_Door_Creaking-SoundBible_uid-f2vs74.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Old_Door_Creaking-SoundBible_uid-ozrhlo,ozrhlo,Old_Door_Creaking-SoundBible_uid-ozrhlo.wav,audio/Old_Door_Creaking-SoundBible_uid-ozrhlo.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Old_Door_Creaking-SoundBible_uid-q6uf3u,q6uf3u,Old_Door_Creaking-SoundBible_uid-q6uf3u.wav,audio/Old_Door_Creaking-SoundBible_uid-q6uf3u.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Police Siren 3-SoundBible_uid-nytspf,nytspf,Police Siren 3-SoundBible_uid-nytspf.wav,audio/Police Siren 3-SoundBible_uid-nytspf.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Police_Siren-SoundBible_uid-uyk0z0,uyk0z0,Police_Siren-SoundBible_uid-uyk0z0.wav,audio/Police_Siren-SoundBible_uid-uyk0z0.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Psycho_Scream-SoundBible_uid-4qhwlo,4qhwlo,Psycho_Scream-SoundBible_uid-4qhwlo.wav,audio/Psycho_Scream-SoundBible_uid-4qhwlo.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Psycho scream,,,,,30000,10
Psycho_Scream-SoundBible_uid-uococi,uococi,Psycho_Scream-SoundBible_uid-uococi.wav,audio/Psycho_Scream-SoundBible_uid-uococi.wav,impulse_noise,0,test,ImpulseEvents.parquet,ImpulseEvent,44100,1,2025-11-09,Psycho scream,,,,,30000,10
Puppy_Dog Barking-SoundBible_uid-130qr7,130qr7,Puppy_Dog Barking-SoundBible_uid-130qr7.wav,audio/Puppy_Dog Barking-SoundBible_uid-130qr7.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Puppy_Dog Barking-SoundBible_uid-zrfwba,zrfwba,Puppy_Dog Barking-SoundBible_uid-zrfwba.wav,audio/Puppy_Dog Barking-SoundBible_uid-zrfwba.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Race_Car Idle-SoundBible_uid-5il88u,5il88u,Race_Car Idle-SoundBible_uid-5il88u.wav,audio/Race_Car Idle-SoundBible_uid-5il88u.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Race_Car Idle-SoundBible_uid-bjwy2y,bjwy2y,Race_Car Idle-SoundBible_uid-bjwy2y.wav,audio/Race_Car Idle-SoundBible_uid-bjwy2y.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Race_Car Idle-SoundBible_uid-i7dn0k,i7dn0k,Race_Car Idle-SoundBible_uid-i7dn0k.wav,audio/Race_Car Idle-SoundBible_uid-i7dn0k.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Restaurant Walla Track-SoundBible_uid-19b0uq,19b0uq,Restaurant Walla Track-SoundBible_uid-19b0uq.wav,audio/Restaurant Walla Track-SoundBible_uid-19b0uq.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Restaurant Walla Track-SoundBible_uid-e11kg8,e11kg8,Restaurant Walla Track-SoundBible_uid-e11kg8.wav,audio/Restaurant Walla Track-SoundBible_uid-e11kg8.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Restaurant Walla Track-SoundBible_uid-fk59q6,fk59q6,Restaurant Walla Track-SoundBible_uid-fk59q6.wav,audio/Restaurant Walla Track-SoundBible_uid-fk59q6.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
School_Fire_Alarm-Cullen_Card-202875844_uid-rfkm7v,rfkm7v,School_Fire_Alarm-Cullen_Card-202875844_uid-rfkm7v.wav,audio/School_Fire_Alarm-Cullen_Card-202875844_uid-rfkm7v.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Shift_Gears-SoundBible_uid-cvmuj8,cvmuj8,Shift_Gears-SoundBible_uid-cvmuj8.wav,audio/Shift_Gears-SoundBible_uid-cvmuj8.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,22050,1,2026-04-11,,,,,,30000,10
Ship_Bell-Mike_Koenig-1911209136_uid-e2z0y7,e2z0y7,Ship_Bell-Mike_Koenig-1911209136_uid-e2z0y7.wav,audio/Ship_Bell-Mike_Koenig-1911209136_uid-e2z0y7.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,22050,1,2026-04-11,,,,,,30000,10
Ship_Brass_Bell-Mike_Koenig-1458750630_uid-oksrz0,oksrz0,Ship_Brass_Bell-Mike_Koenig-1458750630_uid-oksrz0.wav,audio/Ship_Brass_Bell-Mike_Koenig-1458750630_uid-oksrz0.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,22050,1,2026-04-11,,,,,,30000,10
Shopping_Mall Ambiance-SoundBible_uid-fa5yaq,fa5yaq,Shopping_Mall Ambiance-SoundBible_uid-fa5yaq.wav,audio/Shopping_Mall Ambiance-SoundBible_uid-fa5yaq.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
Sleigh_Bells_Ringing-SoundBible_uid-i52bxo,i52bxo,Sleigh_Bells_Ringing-SoundBible_uid-i52bxo.wav,audio/Sleigh_Bells_Ringing-SoundBible_uid-i52bxo.wav,impulse_noise,0,test,libdata_impulz_2.1.parquet,,44100,1,2026-04-11,,,,,,30000,10
