Altium Designer Pick and Place Locations
C:\Users\maxam\Documents\GIT\03_skola\boomchecker-monorepo\hw\node\v0.1\Project Outputs for bch-stmnode_v0.1\bom_boomchecker-stmnode_v0.1\cpm_bch-stmnode_v0.1.csv

========================================================================================================================
File Design Information:

Date:       14.07.26
Time:       23:57
Revision:   c991fa08a9a7a0822b2168fcd67a520433ebefee
Variant:    stmnode
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J10","BottomLayer","527450696","12.8715","63.2460","270","FFC & FPC Connectors RA SMT ZIF TOP 6P ROHS COMPLIANT, Pitch: 0.5 mm, Mounting Angle / Contact Location: Right Angle / Top Contact, Current Rating: 500 mA, Voltage Rating: 50 V"
"J6","BottomLayer","1051620001","17.3375","35.4790","90","Memory Card Connectors Micro SD Push Pull SMT 1.15mm"
"J5","TopLayer","USB472003A","89.3924","50.0000","90","USB Connectors USB2.0 TypeC Recpt., 3u Gold, 16P Horz Mid Mount SMT, 1.13mm O-set, IP67"
"J4","TopLayer","S2BZRLFSN","71.3352","77.0636","180","Konektor: kabel-pl.spoj; zásuvka; vidlice; PIN: 2; PH; 2A; 100V; SMT"
"J3","BottomLayer","FTSH-107-XX-YYY-DV-K-A-P","78.5013","17.1266","270","Connector"
"J1","BottomLayer","ANTGNSSCPTH18L1","50.0000","72.1924","180","Antennas ANTENNA GNSS L1 18X18 THM"
"F1","TopLayer","PTS120630V012","73.4314","72.8726","0","Resettable Fuses - PPTC 1206 6V 0.75A 1.1W SMD AEC-Q200 High Temp"
"D8","TopLayer","SODFL1006X40N","13.8684","40.7670","0","Vesd (ESD contact/air gap): 18 kV, Cd (Diode Capacitance): 15 pF, Working Voltage: 3.3 V, Breakdown Voltage: 5 V, Clamping Voltage: 10.5 V"
"D7","TopLayer","SODFL1006X40N","10.7522","32.4866","0","Vesd (ESD contact/air gap): 18 kV, Cd (Diode Capacitance): 15 pF, Working Voltage: 3.3 V, Breakdown Voltage: 5 V, Clamping Voltage: 10.5 V"
"D6","TopLayer","SODFL1006X40N","10.7522","34.6456","0","Vesd (ESD contact/air gap): 18 kV, Cd (Diode Capacitance): 15 pF, Working Voltage: 3.3 V, Breakdown Voltage: 5 V, Clamping Voltage: 10.5 V"
"D5","TopLayer","SODFL1006X40N","10.7522","36.8300","0","Vesd (ESD contact/air gap): 18 kV, Cd (Diode Capacitance): 15 pF, Working Voltage: 3.3 V, Breakdown Voltage: 5 V, Clamping Voltage: 10.5 V"
"D4","TopLayer","SODFL1006X40N","10.7442","37.9222","0","Vesd (ESD contact/air gap): 18 kV, Cd (Diode Capacitance): 15 pF, Working Voltage: 3.3 V, Breakdown Voltage: 5 V, Clamping Voltage: 10.5 V"
"D3","TopLayer","SP320501ETG","50.3428","74.0410","0","ESD Protection Diodes / TVS Diodes ESD 3.3V UNI, Working Voltage: 3.3 V, Clamping Voltage: 12 V, Breakdown Voltage: 3.6 V, Ipp - Peak Pulse Current: 4 A , Cd - Diode Capacitance: 0.3 pF"
"D2","TopLayer","SODFL1006X40N","69.3420","74.1680","0","ESD Protection Diode, Bidirectional, VRWM=5 V, VBR=6 V typ., VC=14 V max, IPP=6 A, Cd=20 pF, ±30 kV ESD, SOD-923"
"D1","TopLayer","LEDM2012X80N","90.3224","41.1480","180","LED GREEN,  3.2 V"
"C58","TopLayer","CAPC1608X90N","8.6360","65.7860","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X6S"
"C57","TopLayer","CAPC1608X90N","25.7810","55.4990","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X6S"
"C56","TopLayer","CAPC1608X95N","24.2570","55.4990","270","16V 0.1uF XR7 0603 10%"
"C55","TopLayer","CAPC1608X90N","8.7630","60.4520","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X6S"
"C54","TopLayer","CAPC1608X95N","47.7266","53.0860","270","16V 0.1uF XR7 0603 10%"
"C53","TopLayer","CAPC1608X95N","46.2280","53.0860","270","16V 0.1uF XR7 0603 10%"
"C52","TopLayer","CAPC1608X95N","48.4632","58.1660","90","16V 0.1uF XR7 0603 10%"
"C51","TopLayer","C0603","50.0380","58.2168","90","10 VDC, 20 %, X5R"
"C50","TopLayer","CAPC1608X95N","58.6092","56.2992","90","16V 0.1uF XR7 0603 10%"
"C49","TopLayer","C0603","54.4182","55.2832","180","10 VDC, 20 %, X5R"
"C46","TopLayer","CAPC1608X97N","26.4160","64.0080","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 12pF 10volts C0G(N0P) 1%"
"C45","TopLayer","CAPC1608X97N","15.2400","65.2780","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 12pF 10volts C0G(N0P) 1%"
"C44","TopLayer","C0603","5.2070","62.1030","180","50 VDC, 10 %, X7R"
"C43","TopLayer","C0603","5.2070","63.8810","180","50 VDC, 10 %, X7R"
"C42","TopLayer","C0603","45.6184","13.4366","270","10 VDC, 20 %, X5R"
"C41","TopLayer","CAPC1608X95N","48.6156","13.4874","270","16V 0.1uF XR7 0603 10%"
"C40","TopLayer","CAPC1608X90N","51.1810","34.0106","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X6S"
"C39","TopLayer","CAPC1608X90N","69.3420","7.4930","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0603 X6S"
"C38","TopLayer","C0603","62.4840","35.4584","90","10 VDC, 20 %, X5R"
"C34","TopLayer","CAPC1608X95N","76.8858","60.7314","90","16V 0.1uF XR7 0603 10%"
"C33","TopLayer","C0603","78.5876","61.8490","90","10 VDC, 20 %, X5R"
"C32","TopLayer","CAPC1608X95N","79.3750","55.7022","90","16V 0.1uF XR7 0603 10%"
"C31","TopLayer","C0603","80.8990","55.6768","90","10 VDC, 20 %, X5R"
"C30","TopLayer","C0603","80.5688","30.1244","180","Capacitor"
"C29","TopLayer","C0603","20.7010","19.2532","90","Capacitor"
"C28","TopLayer","CAPC1608X95N","80.7212","31.6484","180","16V 0.1uF XR7 0603 10%"
"C27","TopLayer","C0603","84.5820","30.0990","0","Capacitor"
"C26","TopLayer","CAPC1608X87N","84.4550","31.6484","0","16 VDC, 10 %, X7R"
"C25","TopLayer","CAPC1608X95N","79.6798","40.2590","180","16V 0.1uF XR7 0603 10%"
"C24","TopLayer","C0603","79.6164","41.8338","180","10 VDC, 20 %, X5R"
"C23","TopLayer","CAPC1608X97N","45.7780","16.5802","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 12pF 10volts C0G(N0P) 1%"
"C22","TopLayer","CAPC1608X97N","43.7230","20.4470","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 12pF 10volts C0G(N0P) 1%"
"C21","BottomLayer","CAPC1608X95N","66.5226","16.4592","90","16V 0.1uF XR7 0603 10%"
"C20","TopLayer","CAPC1608X95N","75.4126","23.9522","0","16V 0.1uF XR7 0603 10%"
"C19","TopLayer","CAPC1608X95N","75.3913","18.3966","0","16V 0.1uF XR7 0603 10%"
"C18","TopLayer","CAPC1608X95N","73.5838","32.2326","90","16V 0.1uF XR7 0603 10%"
"C17","TopLayer","CAPC1608X95N","64.0080","35.4950","90","16V 0.1uF XR7 0603 10%"
"C16","TopLayer","CAPC1608X95N","59.4360","35.3060","90","16V 0.1uF XR7 0603 10%"
"C15","TopLayer","CAPC1608X95N","60.4012","8.3312","270","16V 0.1uF XR7 0603 10%"
"C14","TopLayer","CAPC1608X95N","65.4050","8.2550","270","16V 0.1uF XR7 0603 10%"
"C13","TopLayer","CAPC1608X95N","51.8160","9.1440","180","16V 0.1uF XR7 0603 10%"
"C12","TopLayer","CAPC1608X95N","70.7390","7.4930","270","16V 0.1uF XR7 0603 10%"
"C11","TopLayer","CAPC1608X95N","47.7520","23.2410","180","16V 0.1uF XR7 0603 10%"
"C10","TopLayer","CAPC1608X95N","48.6156","15.9004","180","16V 0.1uF XR7 0603 10%"
"C9","TopLayer","CAPC1608X95N","21.3868","16.0020","270","16V 0.1uF XR7 0603 10%"
"C7","TopLayer","C0603","40.5512","86.5632","0","10 VDC, 20 %, X5R"
"C4","TopLayer","CAPC1608X95N","24.8920","82.6008","270","16V 0.1uF XR7 0603 10%"
"C3","TopLayer","C0603","23.0632","82.4484","270","10 VDC, 20 %, X5R"
