recording_id,class_id,split3
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-qwmyny,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-ria7cw,0,val
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-t420qo,0,val
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-t4sna7,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-virgye,0,train
402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-wim8gs,0,train
404816__straget__gunshot_uid-1lffgk,0,train
405132__fstagi__gunshots_uid-ux8qa6,0,val
405132__fstagi__gunshots_uid-xcyi0z,0,test
405132__fstagi__gunshots_uid-xyilvk,0,train
51470__smcameron__synthetic_gunshot_2_uid-vatpwv,0,test
516684__supreme1197__gunshot_uid-wvvzr7,0,train
518181__bolkmar__fx-gunshot_uid-4ei81r,0,train
518181__bolkmar__fx-gunshot_uid-86m5v6,0,train
518181__bolkmar__fx-gunshot_uid-al1o0i,0,test
518181__bolkmar__fx-gunshot_uid-bhz6v7,0,train
518181__bolkmar__fx-gunshot_uid-es96l9,0,test
518181__bolkmar__fx-gunshot_uid-fzl4r4,0,train
518181__bolkmar__fx-gunshot_uid-j3vsmz,0,test
518181__bolkmar__fx-gunshot_uid-mndnub,0,val
518181__bolkmar__fx-gunshot_uid-r0n83p,0,train
519623__nathanchurchyard__gunshots_uid-04snto,0,train
519623__nathanchurchyard__gunshots_uid-0vbgff,0,train
519623__nathanchurchyard__gunshots_uid-221io5,0,train
519623__nathanchurchyard__gunshots_uid-5qaogm,0,val
519623__nathanchurchyard__gunshots_uid-68l6r4,0,train
519623__nathanchurchyard__gunshots_uid-dx8n5j,0,train
519623__nathanchurchyard__gunshots_uid-guol0j,0,train
519623__nathanchurchyard__gunshots_uid-hkereq,0,train
519623__nathanchurchyard__gunshots_uid-jyaue7,0,train
519623__nathanchurchyard__gunshots_uid-kvxx3q,0,test
519623__nathanchurchyard__gunshots_uid-m3daea,0,val
519623__nathanchurchyard__gunshots_uid-ro3jyx,0,train
519623__nathanchurchyard__gunshots_uid-voqt7j,0,train
519623__nathanchurchyard__gunshots_uid-x2v9jo,0,train
683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-7iyru8,0,val
683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-lujshy,0,train
683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-ouj634,0,val
683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-qw3gyl,0,train
683312__pnmcarrierailfan__pistol-gunshot-mix-weapons_uid-tmmoay,0,test
686351__rangerrich68__gunshot_uid-lpnv47,0,train
Amusement_Park Ambiance -SoundBible_uid-1rnz3c,0,train
Amusement_Park Ambiance -SoundBible_uid-2t9w3e,0,test
Amusement_Park Ambiance -SoundBible_uid-jwv6lq,0,test
Amusement_Park Ambiance -SoundBible_uid-l24o63,0,test
Amusement_Park Ambiance -SoundBible_uid-xga4ah,0,train
Baby_Girl_Speaking-SoundBible_uid-lfp0pl,0,train
Baby_Talk-SoundBible_uid-5isz0s,0,train
Baby_Talk-SoundBible_uid-tlhzgq,0,val
Baby_Talk_2-SoundBible_uid-igfidk,0,train
Baby_Talk_2-SoundBible_uid-th40ni,0,train
Baby_Talk_30 Sec-SoundBible_uid-8snvch,0,train
Baby_Talk_30 Sec-SoundBible_uid-cszg60,0,train
Baby_Talk_30 Sec-SoundBible_uid-nt49fb,0,train
Background_Noise-SoundBible_uid-9tt4fj,0,train
Background_Noise-SoundBible_uid-c2rszc,0,train
Background_Noise-SoundBible_uid-grm3tj,0,train
Background_Noise-SoundBible_uid-m7qaag,0,test
Background_Noise-SoundBible_uid-mnn2bm,0,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-4x1yuf,0,val
Bi_Polar_Uncle-ScanMan-1810098860_uid-7qv96e,0,train
Bi_Polar_Uncle-ScanMan-1810098860_uid-acr1ir,0,train
Bi_Polar_Uncle-ScanMan-1810098860_uid-app2oh,0,train
Bi_Polar_Uncle-ScanMan-1810098860_uid-b8uks2,0,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-evaiic,0,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-iqacxf,0,train
Bi_Polar_Uncle-ScanMan-1810098860_uid-l7n0jt,0,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-mj8x2a,0,train
Bi_Polar_Uncle-ScanMan-1810098860_uid-o3irva,0,train
Bi_Polar_Uncle-ScanMan-1810098860_uid-omv54z,0,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-opz6ls,0,val
Bi_Polar_Uncle-ScanMan-1810098860_uid-p90ljg,0,test
Bi_Polar_Uncle-ScanMan-1810098860_uid-tl65kg,0,train
Bi_Polar_Uncle-ScanMan-1810098860_uid-zc1ipd,0,train
Big_door_closed-Clemens_F-941522533 (1)_uid-dn5qo5,0,train
Big_door_closed-Clemens_F-941522533_uid-n02it9,0,test
Car Engine Revving-SoundBible_uid-2l6ct5,0,val
Car Engine Revving-SoundBible_uid-4uzfw6,0,train
Car Engine Revving-SoundBible_uid-fyajld,0,train
Car Engine Revving-SoundBible_uid-galjzz,0,train
Car Engine Revving-SoundBible_uid-nbreqs,0,val
Car Engine Revving-SoundBible_uid-pep718,0,train
Car_Door_Close-SoundBible_uid-6bk4y1,0,train
Car_Door_Close-SoundBible_uid-9h2t6o,0,val
Cellar_Door Slam Shut-SoundBible_uid-6z7omr,0,val
Cellar_Door Slam Shut-SoundBible_uid-pg4dq8,0,test
Child_Scream-SoundBible_uid-bc3l50,0,train
Citty_Traffic Ambiance-SoundBible_uid-87yimc,0,test
Citty_Traffic Ambiance-SoundBible_uid-8vk0wx,0,test
Citty_Traffic Ambiance-SoundBible_uid-mxbe2e,0,test
Citty_Traffic Ambiance-SoundBible_uid-oqpbd8,0,train
Citty_Traffic Ambiance-SoundBible_uid-q0srdn,0,test
City_Ambiance-SoundBible_uid-4yigy2,0,val
City_Ambiance-SoundBible_uid-5xpbpm,0,train
City_Ambiance-SoundBible_uid-68vh9e,0,train
City_Ambiance-SoundBible_uid-7sgond,0,val
City_Ambiance-SoundBible_uid-7xt5uu,0,val
City_Ambiance-SoundBible_uid-8yrqh9,0,test
City_Ambiance-SoundBible_uid-ay65s0,0,train
City_Ambiance-SoundBible_uid-dla4u8,0,train
City_Ambiance-SoundBible_uid-i7015o,0,train
City_Ambiance-SoundBible_uid-i9g0oq,0,train
City_Ambiance-SoundBible_uid-rl1vl3,0,train
City_Ambiance-SoundBible_uid-s5wbfi,0,train
City_Ambiance-SoundBible_uid-t8xlgr,0,test
City_Ambiance-SoundBible_uid-tjysm2,0,train
Classroom_Ambiance-SoundBible_uid-15mvqy,0,train
Classroom_Ambiance-SoundBible_uid-1yjnrb,0,train
Classroom_Ambiance-SoundBible_uid-24lp47,0,train
Classroom_Ambiance-SoundBible_uid-3ajatf,0,train
Classroom_Ambiance-SoundBible_uid-612bhd,0,train
Classroom_Ambiance-SoundBible_uid-6auadw,0,train
Classroom_Ambiance-SoundBible_uid-d5qym1,0,train
Classroom_Ambiance-SoundBible_uid-d854bp,0,val
Classroom_Ambiance-SoundBible_uid-ebc6mm,0,train
Classroom_Ambiance-SoundBible_uid-fvc0b8,0,train
Classroom_Ambiance-SoundBible_uid-gdn6cv,0,train
Classroom_Ambiance-SoundBible_uid-iq3l57,0,train
Classroom_Ambiance-SoundBible_uid-jqyb9y,0,train
Classroom_Ambiance-SoundBible_uid-jysh5m,0,train
Classroom_Ambiance-SoundBible_uid-ore0tv,0,val
Classroom_Ambiance-SoundBible_uid-p82vfx,0,train
Classroom_Ambiance-SoundBible_uid-pzelvg,0,val
Classroom_Ambiance-SoundBible_uid-q49pv1,0,test
Classroom_Ambiance-SoundBible_uid-qfbdk0,0,test
Classroom_Ambiance-SoundBible_uid-su8rm4,0,train
Classroom_Ambiance-SoundBible_uid-uu3ewb,0,test
Classroom_Ambiance-SoundBible_uid-vqytfv,0,train
Classroom_Ambiance-SoundBible_uid-xdl758,0,test
Classroom_Ambiance-SoundBible_uid-xv302f,0,train
Classroom_Ambiance-SoundBible_uid-y6icwf,0,val
Classroom_Ambiance-SoundBible_uid-ykywwj,0,train
Close_Door-SoundBible_uid-9hk9y4,0,train
Close_Door-SoundBible_uid-ial4ob,0,train
Close_Door-SoundBible_uid-lz6pl2,0,val
Close_Door-SoundBible_uid-xdkfqe,0,train
Close_Vault_Or_Jail_Door-SoundBible_uid-1b3a8u,0,train
Close_Vault_Or_Jail_Door-SoundBible_uid-bnzxyv,0,train
Close_Vault_Or_Jail_Door-SoundBible_uid-ioohwy,0,val
Close_Vault_Or_Jail_Door-SoundBible_uid-lasl2n,0,test
Dog_Barking-SoundBible_uid-3uyzqt,0,test
Dog_Barking-SoundBible_uid-77rxso,0,train
Dog_Barking-SoundBible_uid-udwefz,0,test
Dogs_Barking-SoundBible_uid-06db9u,0,train
Dogs_Barking-SoundBible_uid-0ftva8,0,test
Dogs_Barking-SoundBible_uid-0zgu9a,0,train
Dogs_Barking-SoundBible_uid-2ug0pz,0,train
Dogs_Barking-SoundBible_uid-360xo6,0,train
Dogs_Barking-SoundBible_uid-3elcfr,0,train
Dogs_Barking-SoundBible_uid-6cuhxo,0,train
Dogs_Barking-SoundBible_uid-79zhgq,0,train
Dogs_Barking-SoundBible_uid-7p80fn,0,train
Dogs_Barking-SoundBible_uid-80y6uy,0,train
Dogs_Barking-SoundBible_uid-89py07,0,train
Dogs_Barking-SoundBible_uid-9ow2fw,0,train
Dogs_Barking-SoundBible_uid-dyx0yh,0,train
Dogs_Barking-SoundBible_uid-ibcp6w,0,val
Dogs_Barking-SoundBible_uid-itlawo,0,test
Dogs_Barking-SoundBible_uid-juqhjz,0,train
Dogs_Barking-SoundBible_uid-jwx6oc,0,train
Dogs_Barking-SoundBible_uid-jwxi8x,0,train
Dogs_Barking-SoundBible_uid-k8qbi9,0,test
Dogs_Barking-SoundBible_uid-n7k6p9,0,val
Dogs_Barking-SoundBible_uid-nzoaru,0,val
Dogs_Barking-SoundBible_uid-o3hpsc,0,train
Dogs_Barking-SoundBible_uid-og7e1q,0,train
Dogs_Barking-SoundBible_uid-pl29dj,0,train
Dogs_Barking-SoundBible_uid-prqla1,0,train
Dogs_Barking-SoundBible_uid-sats5w,0,val
Dogs_Barking-SoundBible_uid-sfd0pk,0,train
Dogs_Barking-SoundBible_uid-spcx7j,0,train
Dogs_Barking-SoundBible_uid-tctr15,0,train
Dogs_Barking-SoundBible_uid-vzwpy8,0,val
Dogs_Barking-SoundBible_uid-xh8zjx,0,train
Dogs_Barking-SoundBible_uid-zowyrl,0,train
Dogs_Barking-SoundBible_uid-zqh7hs,0,train
Door_Close-SoundBible_uid-bsfxd7,0,train
Doorbell-SoundBible_uid-82zlon,0,train
Doorbell-SoundBible_uid-es14aj,0,train
Doorbell-SoundBible_uid-hu3smh,0,train
End_of_Game-Mike_Koenig-617089079_uid-0scusn,0,test
End_of_Game-Mike_Koenig-617089079_uid-1gc3kq,0,train
End_of_Game-Mike_Koenig-617089079_uid-21e27w,0,train
End_of_Game-Mike_Koenig-617089079_uid-fksa7e,0,train
End_of_Game-Mike_Koenig-617089079_uid-fll93l,0,train
End_of_Game-Mike_Koenig-617089079_uid-foqzbk,0,train
End_of_Game-Mike_Koenig-617089079_uid-tow618,0,train
End_of_Game-Mike_Koenig-617089079_uid-ub93e1,0,train
End_of_Game-Mike_Koenig-617089079_uid-v2wwmb,0,train
End_of_Game-Mike_Koenig-617089079_uid-w07rds,0,train
End_of_Game-Mike_Koenig-617089079_uid-ymc7zy,0,val
Engine_Inside_Car-SoundBible_uid-5dbezn,0,train
Engine_Inside_Car-SoundBible_uid-7ugvm0,0,val
Engine_Inside_Car-SoundBible_uid-as3jed,0,test
Engine_Inside_Car-SoundBible_uid-c82nes,0,train
Engine_Inside_Car-SoundBible_uid-k3dkr3,0,val
Engine_Inside_Car-SoundBible_uid-kphaeb,0,train
Engine_Inside_Car-SoundBible_uid-nxs82p,0,train
Engine_Inside_Car-SoundBible_uid-omd0h5,0,train
Engine_Inside_Car-SoundBible_uid-pzuxz5,0,train
Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-0htqu7,0,train
Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-8u9yx0,0,test
Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-9pwmgu,0,test
Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-9q2nn5,0,train
Fast_Heel_Walk-Kyanna_Johnson-1646343608_uid-kfy902,0,train
Female_Scream-SoundBible_uid-o7148x,0,train
Female_Scream-SoundBible_uid-snslsg,0,val
Female_Scream_Horror-NeoPhyTe-138499973_uid-w7fb5j,0,test
Fire_Truck_Siren-SoundBible_uid-c00lnm,0,val
Footsteps_SoundBible_uid-4v6zy1,0,test
Footsteps_SoundBible_uid-7fgddj,0,train
Footsteps_SoundBible_uid-dg95vk,0,test
Footsteps_SoundBible_uid-hnz36f,0,test
Footsteps_SoundBible_uid-hvf0z6,0,train
Footsteps_SoundBible_uid-jzp69l,0,train
Footsteps_SoundBible_uid-ouanxu,0,val
Footsteps_SoundBible_uid-qgm67h,0,val
Footsteps_SoundBible_uid-t85wos,0,train
Footsteps_SoundBible_uid-xbzr9w,0,train
Footsteps_SoundBible_uid-xjk06n,0,train
Frying_Pan_Impact-SoundBible_uid-4tjysk,0,train
Frying_Pan_Impact-SoundBible_uid-gy4uv0,0,train
Frying_Pan_Impact-SoundBible_uid-nbylf3,0,test
Full_Throttle-SoundBible_uid-13goe3,0,train
Full_Throttle-SoundBible_uid-dywhw9,0,train
Hockey_Game Ambiance-SoundBible_uid-mxy25p,0,val
Hockey_Game Ambiance-SoundBible_uid-n2vcjy,0,train
Hockey_Game Ambiance-SoundBible_uid-oqjbda,0,val
Hockey_Game Ambiance-SoundBible_uid-xi7z7i,0,val
Hockey_Game Ambiance-SoundBible_uid-xlgm26,0,train
Howard_Dean Screaming-SoundBible_uid-houbpy,0,train
Howard_Dean Screaming-SoundBible_uid-kng9vm,0,train
Indian_Bell-SoundBible_uid-05cpjg,0,train
Indian_Bell-SoundBible_uid-j1iwfo,0,train
Indian_Bell-SoundBible_uid-qiywb4,0,train
Indian_Bell-SoundBible_uid-t0u6xu,0,test
Japanese_Temple Bell Small-SoundBible_uid-3fhudh,0,test
Japanese_Temple Bell Small-SoundBible_uid-8kpqn1,0,test
Japanese_Temple Bell Small-SoundBible_uid-lh5wut,0,train
Japanese_Temple Bell Small-SoundBible_uid-yzjgir,0,train
Large_Door_Slam-SoundBible_uid-13jhqa,0,train
Large_Door_Slam-SoundBible_uid-1psoyj,0,train
Large_Door_Slam-SoundBible_uid-4zllfp,0,train
Large_Door_Slam-SoundBible_uid-am54hr,0,train
Large_Door_Slam-SoundBible_uid-jt0rph,0,val
Large_Door_Slam-SoundBible_uid-kv2u9m,0,train
Large_Door_Slam-SoundBible_uid-ljg1k3,0,test
Large_Door_Slam-SoundBible_uid-u1l5bj,0,train
Large_Door_Slam-SoundBible_uid-vtytt2,0,train
Large_Door_Slam-SoundBible_uid-y1fcj2,0,train
Large_Metal_Rusty Door-SoundBible_uid-ihz0ur,0,train
Large_Metal_Rusty Door-SoundBible_uid-xn083m,0,val
Little_Girl_Talking-Mike_Koenig-782373463_uid-bstw5g,0,test
Little_Girl_Talking-Mike_Koenig-782373463_uid-embfqd,0,train
Little_Girl_Talking-Mike_Koenig-782373463_uid-j15zel,0,train
Little_Girl_Talking-Mike_Koenig-782373463_uid-k5273w,0,train
Little_Girl_Talking-Mike_Koenig-782373463_uid-smhgf9,0,val
Little_Girl_Talking-Mike_Koenig-782373463_uid-zkco2a,0,val
Metal_Gong-Dianakc-109711828_uid-hlegwg,0,test
Metal_Gong-Dianakc-109711828_uid-lhnelh,0,train
Metal_Gong-Dianakc-109711828_uid-rq5l1a,0,val
Metal_Gong-Dianakc-109711828_uid-uc2x01,0,train
Mother_In_Law-SoundBible_uid-2i8a7l,0,train
Mother_In_Law-SoundBible_uid-4pm43v,0,train
Mother_In_Law-SoundBible_uid-5qenfz,0,train
Mother_In_Law-SoundBible_uid-ldj5n1,0,train
Mother_In_Law-SoundBible_uid-r2q9l6,0,train
Mother_In_Law-SoundBible_uid-w06jo6,0,train
Mother_In_Law-SoundBible_uid-z92smn,0,val
Motorcycle_Engine-SoundBible_uid-532kor,0,val
Motorcycle_Engine-SoundBible_uid-5o451c,0,train
Motorcycle_Engine-SoundBible_uid-bo8n5y,0,test
Motorcycle_Engine-SoundBible_uid-ed9qr0,0,train
Motorcycle_Engine-SoundBible_uid-l2zh6x,0,train
Motorcycle_Engine-SoundBible_uid-nj61gd,0,train
Motorcycle_Engine-SoundBible_uid-nylusr,0,train
Motorcycle_Engine-SoundBible_uid-vcok6o,0,train
Neighborhood_Dogs Barking-SoundBible_uid-6a1kho,0,test
Neighborhood_Dogs Barking-SoundBible_uid-6psl8n,0,train
Neighborhood_Dogs Barking-SoundBible_uid-7mwktq,0,test
Neighborhood_Dogs Barking-SoundBible_uid-b8m1ha,0,train
Neighborhood_Dogs Barking-SoundBible_uid-dwmjp4,0,test
Neighborhood_Dogs Barking-SoundBible_uid-i17h1l,0,train
Neighborhood_Dogs Barking-SoundBible_uid-jq0pvf,0,train
Neighborhood_Dogs Barking-SoundBible_uid-kc7h7x,0,test
Neighborhood_Dogs Barking-SoundBible_uid-lnpr65,0,train
Neighborhood_Dogs Barking-SoundBible_uid-p7gr4b,0,test
Neighborhood_Dogs Barking-SoundBible_uid-rq1qkq,0,test
Neighborhood_Dogs Barking-SoundBible_uid-u0utjf,0,train
Obama_Speech Liar-SoundBible_uid-56tkh6,0,train
Obama_Speech Liar-SoundBible_uid-8mnhtv,0,test
Obama_Speech Liar-SoundBible_uid-it25ex,0,train
Obama_Speech Liar-SoundBible_uid-m55wqm,0,train
Obama_Speech Liar-SoundBible_uid-o893eg,0,train
Obama_Speech Liar-SoundBible_uid-vfb2cc,0,val
Old_Door_Creaking-SoundBible_uid-0cxhr5,0,val
Old_Door_Creaking-SoundBible_uid-0yquhs,0,train
Old_Door_Creaking-SoundBible_uid-12sdup,0,train
Old_Door_Creaking-SoundBible_uid-3nda72,0,val
Old_Door_Creaking-SoundBible_uid-3zq0t3,0,train
Old_Door_Creaking-SoundBible_uid-6phapn,0,train
Old_Door_Creaking-SoundBible_uid-e16ryq,0,test
Old_Door_Creaking-SoundBible_uid-f2vs74,0,test
Old_Door_Creaking-SoundBible_uid-ltu6v6,0,val
Old_Door_Creaking-SoundBible_uid-ozrhlo,0,test
Old_Door_Creaking-SoundBible_uid-q6uf3u,0,test
Old_Door_Creaking-SoundBible_uid-rehqyi,0,train
Old_Door_Creaking-SoundBible_uid-ugdlcw,0,train
Old_Door_Creaking-SoundBible_uid-vmd0mi,0,train
People_Screaming-SoundBible_uid-3uupv3,0,train
People_Screaming-SoundBible_uid-bp2stl,0,train
People_Screaming-SoundBible_uid-hfkye2,0,train
People_Screaming-SoundBible_uid-izy7pt,0,train
Person_Screaming No-SoundBible_uid-1cr947,0,train
Police Siren 3-SoundBible_uid-2pvfa4,0,train
Police Siren 3-SoundBible_uid-3d5i8j,0,train
Police Siren 3-SoundBible_uid-cycqe4,0,train
Police Siren 3-SoundBible_uid-nytspf,0,test
Police_Siren-SoundBible_uid-5des6p,0,val
Police_Siren-SoundBible_uid-uyk0z0,0,test
Police_Siren_2-SoundBible_uid-mvtx9k,0,train
Police_Siren_2-SoundBible_uid-v714xd,0,train
Police_TheCristi95-214716303_uid-fqrk8v,0,train
Psycho_Scream-SoundBible_uid-2utxng,0,train
Psycho_Scream-SoundBible_uid-41fmfi,0,train
Psycho_Scream-SoundBible_uid-42a8md,0,train
Psycho_Scream-SoundBible_uid-4qhwlo,0,test
Psycho_Scream-SoundBible_uid-b3cndq,0,val
Psycho_Scream-SoundBible_uid-uococi,0,test
Public_Transit_Bus-SoundBible_uid-3i5t22,0,train
Public_Transit_Bus-SoundBible_uid-8f576m,0,train
Public_Transit_Bus-SoundBible_uid-a8fyah,0,train
Public_Transit_Bus-SoundBible_uid-cwr0mf,0,train
Public_Transit_Bus-SoundBible_uid-mysutj,0,train
Public_Transit_Bus-SoundBible_uid-ubrqyj,0,train
Puppy_Dog Barking-SoundBible_uid-0qy0mv,0,train
Puppy_Dog Barking-SoundBible_uid-130qr7,0,test
Puppy_Dog Barking-SoundBible_uid-2xlf8k,0,train
Puppy_Dog Barking-SoundBible_uid-5q8j8z,0,train
Puppy_Dog Barking-SoundBible_uid-6ig5tz,0,train
Puppy_Dog Barking-SoundBible_uid-6o7irb,0,train
Puppy_Dog Barking-SoundBible_uid-7qzkxg,0,train
Puppy_Dog Barking-SoundBible_uid-8x7knz,0,val
Puppy_Dog Barking-SoundBible_uid-fqrqmg,0,train
Puppy_Dog Barking-SoundBible_uid-h2kk2o,0,train
Puppy_Dog Barking-SoundBible_uid-hhl2n0,0,train
Puppy_Dog Barking-SoundBible_uid-hwenxp,0,train
Puppy_Dog Barking-SoundBible_uid-izcqml,0,val
Puppy_Dog Barking-SoundBible_uid-v9bdxr,0,train
Puppy_Dog Barking-SoundBible_uid-zrfwba,0,test
Race_Car Idle-SoundBible_uid-5f9xm2,0,val
Race_Car Idle-SoundBible_uid-5il88u,0,test
Race_Car Idle-SoundBible_uid-bjwy2y,0,test
Race_Car Idle-SoundBible_uid-dkehib,0,train
Race_Car Idle-SoundBible_uid-i7dn0k,0,test
Race_Car Idle-SoundBible_uid-z20zcy,0,train
Random_Son_Talk-SoundBible_uid-1ym4hc,0,train
Random_Son_Talk-SoundBible_uid-8mu830,0,train
Random_Son_Talk-SoundBible_uid-kqlhrz,0,train
Random_Son_Talk-SoundBible_uid-zdgyqp,0,train
Restaurant Walla Track-SoundBible_uid-19b0uq,0,test
Restaurant Walla Track-SoundBible_uid-e11kg8,0,test
Restaurant Walla Track-SoundBible_uid-fk59q6,0,test
Restaurant Walla Track-SoundBible_uid-kjeqfn,0,train
Restaurant Walla Track-SoundBible_uid-l5x040,0,train
